i,j,Lookup,AccountID,Month,AssetClass,Stage Mapper,Stage,Exposure,ECL,PD,LGD
674,104,7,MB104,201803,MRTG,0.4114893179,Stage 1,1485554,94213,0.175,0.36
675,105,7,MB105,201803,MRTG,0.2623920112,Stage 1,697596,26103,0.114,0.33
676,106,7,MB106,201803,MRTG,0.1246923625,Stage 1,1239010,4529,0.168,0.02
677,107,7,MB107,201803,MRTG,0.0008997531368,Stage 1,912288,62391,0.183,0.37
678,108,7,MB108,201803,MRTG,0.5242463072,Stage 1,824760,40246,0.131,0.37
679,109,7,MB109,201803,MRTG,0.4487932854,Stage 1,1304821,68181,0.107,0.49
680,110,7,MB110,201803,MRTG,0.1860373767,Stage 1,786247,4472,0.020,0.29
681,111,7,MB111,201803,MRTG,0.2452939358,Stage 1,1459712,95365,0.136,0.48
682,112,7,MB112,201803,MRTG,0.09267296221,Stage 1,1358632,13741,0.028,0.36
683,113,7,MB113,201803,MRTG,0.8777622695,Stage 2,683120,90846,0.555,0.24
684,114,7,MB114,201803,MRTG,0.72614713,Stage 1,859005,45364,0.115,0.46
685,115,7,MB115,201803,MRTG,0.01554407581,Stage 1,545553,24069,0.183,0.24
686,116,7,MB116,201803,MRTG,0.757774046,Stage 1,866938,2841,0.166,0.02
687,117,7,MB117,201803,MRTG,0.1577402454,Stage 1,542416,18002,0.093,0.36
688,118,7,MB118,201803,MRTG,0.6886161318,Stage 1,1085766,11282,0.056,0.19
689,119,7,MB119,201803,MRTG,0.4420473707,Stage 1,1253308,7343,0.180,0.03
690,120,7,MB120,201803,MRTG,0.5877644009,Stage 1,1416141,56,0.000,0.30
691,121,7,MB121,201803,MRTG,0.8242167702,Stage 2,1039300,25824,0.468,0.05
692,122,7,MB122,201803,MRTG,0.8719758939,Stage 2,1382860,7478,0.115,0.05
693,123,7,MB123,201803,MRTG,0.5678159287,Stage 1,556017,7565,0.032,0.43
694,124,7,MB124,201803,MRTG,0.8849349885,Stage 2,736299,61797,0.444,0.19
695,125,7,MB125,201803,MRTG,0.3250139535,Stage 1,1445568,60155,0.112,0.37
696,126,7,MB126,201803,MRTG,0.9000094239,Stage 2,1294158,8049,0.014,0.45
697,127,7,MB127,201803,MRTG,0.9248413479,Stage 2,784620,14891,0.343,0.06
698,128,7,MB128,201803,MRTG,0.3846705897,Stage 1,1031366,23362,0.055,0.41
699,129,7,MB129,201803,MRTG,0.09020459361,Stage 1,757011,3482,0.020,0.23
700,130,7,MB130,201803,MRTG,0.7412157924,Stage 1,1090449,11623,0.061,0.18
701,36,8,MB36,201804,MRTG,0.5939121235,Stage 1,650557,1988,0.194,0.02
702,37,8,MB37,201804,MRTG,0.856171531,Stage 2,936258,5939,0.462,0.01
703,38,8,MB38,201804,MRTG,0.1427494996,Stage 1,1478560,16791,0.046,0.25
704,39,8,MB39,201804,MRTG,0.2444952036,Stage 1,873645,24775,0.094,0.30
705,40,8,MB40,201804,MRTG,0.4935196519,Stage 1,1141305,22905,0.129,0.16
706,41,8,MB41,201804,MRTG,0.2247825834,Stage 1,780410,54835,0.175,0.40
707,42,8,MB42,201804,MRTG,0.7928529368,Stage 1,1182259,21464,0.067,0.27
708,43,8,MB43,201804,MRTG,0.7841036765,Stage 1,1267879,11507,0.027,0.34
709,44,8,MB44,201804,MRTG,0.8710283223,Stage 2,1483417,148763,0.560,0.18
710,45,8,MB45,201804,MRTG,0.7274346267,Stage 1,795045,6248,0.105,0.08
711,46,8,MB46,201804,MRTG,0.5771997929,Stage 1,1076138,21645,0.074,0.27
712,47,8,MB47,201804,MRTG,0.5141511712,Stage 1,1147718,17857,0.168,0.09
713,48,8,MB48,201804,MRTG,0.2280733034,Stage 1,1024930,19960,0.157,0.12
714,49,8,MB49,201804,MRTG,0.2855553805,Stage 1,1410197,48299,0.145,0.24
715,50,8,MB50,201804,MRTG,0.7536517923,Stage 1,744896,3260,0.019,0.23
716,51,8,MB51,201804,MRTG,0.9213950017,Stage 2,1253142,68308,0.115,0.47
717,52,8,MB52,201804,MRTG,0.2021896105,Stage 1,1327446,27299,0.096,0.21
718,53,8,MB53,201804,MRTG,0.2339076255,Stage 1,1327535,25787,0.058,0.33
719,54,8,MB54,201804,MRTG,0.3426440401,Stage 1,1427430,27074,0.109,0.17
720,55,8,MB55,201804,MRTG,0.3348057981,Stage 1,1471573,14428,0.095,0.10
721,56,8,MB56,201804,MRTG,0.2479645373,Stage 1,977913,919,0.002,0.40
722,57,8,MB57,201804,MRTG,0.7791647402,Stage 1,626360,46246,0.161,0.46
723,58,8,MB58,201804,MRTG,0.9184377995,Stage 2,681551,86554,0.290,0.44
724,59,8,MB59,201804,MRTG,0.8013609176,Stage 2,1029194,97062,0.261,0.36
725,60,8,MB60,201804,MRTG,0.3135445589,Stage 1,631151,12776,0.100,0.20
726,61,8,MB61,201804,MRTG,0.07863483201,Stage 1,762666,29380,0.082,0.47
727,62,8,MB62,201804,MRTG,0.09654858321,Stage 1,1052910,7273,0.027,0.26
728,63,8,MB63,201804,MRTG,0.2697455857,Stage 1,826928,9069,0.045,0.24
729,64,8,MB64,201804,MRTG,0.09211749922,Stage 1,576340,43466,0.164,0.46
730,65,8,MB65,201804,MRTG,0.6273965803,Stage 1,954927,7058,0.073,0.10
731,66,8,MB66,201804,MRTG,0.9380836608,Stage 2,1412905,113791,0.401,0.20
732,67,8,MB67,201804,MRTG,0.3371198849,Stage 1,680868,1284,0.038,0.05
733,68,8,MB68,201804,MRTG,0.8430289129,Stage 2,684202,13490,0.056,0.35
734,69,8,MB69,201804,MRTG,0.721211086,Stage 1,1115366,45303,0.143,0.28
735,70,8,MB70,201804,MRTG,0.2973864218,Stage 1,959540,841,0.004,0.24
736,71,8,MB71,201804,MRTG,0.9088350189,Stage 2,1282634,120539,0.289,0.33
737,72,8,MB72,201804,MRTG,0.2234815243,Stage 1,936324,3386,0.026,0.14
738,73,8,MB73,201804,MRTG,0.1229258345,Stage 1,1181690,66735,0.152,0.37
739,74,8,MB74,201804,MRTG,0.4762993528,Stage 1,1485492,43196,0.089,0.33
740,75,8,MB75,201804,MRTG,0.996959958,Stage 3,1282018,183988,1.000,0.14
741,76,8,MB76,201804,MRTG,0.0493051354,Stage 1,864045,7383,0.045,0.19
742,77,8,MB77,201804,MRTG,0.7016886856,Stage 1,1431855,87423,0.161,0.38
743,78,8,MB78,201804,MRTG,0.4165217353,Stage 1,1409261,22028,0.126,0.12
744,79,8,MB79,201804,MRTG,0.5407052879,Stage 1,1012459,27008,0.154,0.17
745,80,8,MB80,201804,MRTG,0.4120734731,Stage 1,1131550,27551,0.090,0.27
746,81,8,MB81,201804,MRTG,0.737140535,Stage 1,1123191,46384,0.096,0.43
747,82,8,MB82,201804,MRTG,0.06095150247,Stage 1,1238164,7891,0.098,0.07
748,83,8,MB83,201804,MRTG,0.5703080837,Stage 1,1029309,41358,0.165,0.24
749,84,8,MB84,201804,MRTG,0.1198840665,Stage 1,1186304,62783,0.131,0.40
750,85,8,MB85,201804,MRTG,0.7848578767,Stage 1,587276,1823,0.191,0.02
751,86,8,MB86,201804,MRTG,0.4455656652,Stage 1,585970,26598,0.132,0.34
752,87,8,MB87,201804,MRTG,0.2556681673,Stage 1,811484,93,0.096,0.00
753,88,8,MB88,201804,MRTG,0.0004053219563,Stage 1,1369680,44563,0.094,0.35
754,89,8,MB89,201804,MRTG,0.4846675297,Stage 1,733215,5822,0.036,0.22
755,90,8,MB90,201804,MRTG,0.5453069726,Stage 1,603387,1484,0.068,0.04
756,91,8,MB91,201804,MRTG,0.3820025332,Stage 1,689060,800,0.195,0.01
757,92,8,MB92,201804,MRTG,0.2073350689,Stage 1,1131598,40576,0.135,0.27
758,93,8,MB93,201804,MRTG,0.4600569976,Stage 1,764536,21781,0.175,0.16
759,94,8,MB94,201804,MRTG,0.8906092459,Stage 2,696173,18053,0.123,0.21
760,95,8,MB95,201804,MRTG,0.5770112533,Stage 1,1302488,12541,0.129,0.07
761,96,8,MB96,201804,MRTG,0.305203223,Stage 1,1025255,27788,0.082,0.33
762,97,8,MB97,201804,MRTG,0.5047563804,Stage 1,798700,25101,0.088,0.36
763,98,8,MB98,201804,MRTG,0.4956070483,Stage 1,703515,51178,0.154,0.47
764,99,8,MB99,201804,MRTG,0.1775249881,Stage 1,673535,57039,0.191,0.44
765,100,8,MB100,201804,MRTG,0.5724905869,Stage 1,971447,8465,0.052,0.17
766,101,8,MB101,201804,MRTG,0.5816687332,Stage 1,993255,12992,0.040,0.32
767,102,8,MB102,201804,MRTG,0.6947404377,Stage 1,1288423,2550,0.016,0.13
768,103,8,MB103,201804,MRTG,0.9683306589,Stage 3,1273751,406687,1.000,0.32
769,104,8,MB104,201804,MRTG,0.6593244611,Stage 1,876770,12768,0.154,0.09
770,105,8,MB105,201804,MRTG,0.7696770564,Stage 1,728961,29134,0.112,0.36
771,106,8,MB106,201804,MRTG,0.07137851486,Stage 1,1152205,18452,0.127,0.13
772,107,8,MB107,201804,MRTG,0.1518480928,Stage 1,1313103,38623,0.174,0.17
773,108,8,MB108,201804,MRTG,0.4635518082,Stage 1,1065920,16466,0.033,0.47
774,109,8,MB109,201804,MRTG,0.1854586946,Stage 1,1377750,35776,0.059,0.44
775,110,8,MB110,201804,MRTG,0.7802507417,Stage 1,826747,39855,0.105,0.46
776,111,8,MB111,201804,MRTG,0.8145577748,Stage 2,839672,9645,0.072,0.16
777,112,8,MB112,201804,MRTG,0.8477781738,Stage 2,1145557,152127,0.372,0.36
778,113,8,MB113,201804,MRTG,0.08028822912,Stage 1,1192159,43518,0.087,0.42
779,114,8,MB114,201804,MRTG,0.2148876688,Stage 1,1221125,21801,0.048,0.37
780,115,8,MB115,201804,MRTG,0.8445552848,Stage 2,1140656,174330,0.355,0.43
781,116,8,MB116,201804,MRTG,0.610001363,Stage 1,855677,29967,0.085,0.41
782,117,8,MB117,201804,MRTG,0.7659124877,Stage 1,892953,30314,0.169,0.20
783,118,8,MB118,201804,MRTG,0.1519382375,Stage 1,803187,615,0.005,0.15
784,119,8,MB119,201804,MRTG,0.724335982,Stage 1,1365600,380,0.145,0.00
785,120,8,MB120,201804,MRTG,0.9417565371,Stage 2,1184150,52950,0.124,0.36
786,121,8,MB121,201804,MRTG,0.7589322963,Stage 1,602890,15466,0.087,0.29
787,122,8,MB122,201804,MRTG,0.2161437241,Stage 1,1282127,5325,0.027,0.15
788,123,8,MB123,201804,MRTG,0.8738885129,Stage 2,1254718,23681,0.045,0.42
789,124,8,MB124,201804,MRTG,0.4602293416,Stage 1,521067,122,0.002,0.12
790,125,8,MB125,201804,MRTG,0.5497275388,Stage 1,877164,25338,0.087,0.33
791,126,8,MB126,201804,MRTG,0.7529129626,Stage 1,924621,58257,0.181,0.35
792,127,8,MB127,201804,MRTG,0.2514036933,Stage 1,1348299,26262,0.051,0.38
793,128,8,MB128,201804,MRTG,0.7845823193,Stage 1,911778,2064,0.006,0.35
794,129,8,MB129,201804,MRTG,0.6998131757,Stage 1,714827,11919,0.077,0.22
795,130,8,MB130,201804,MRTG,0.9698577958,Stage 3,1185005,58920,1.000,0.05
796,131,8,MB131,201804,MRTG,0.7323807236,Stage 1,1077617,20093,0.043,0.43
797,132,8,MB132,201804,MRTG,0.541779018,Stage 1,530935,1356,0.044,0.06
798,133,8,MB133,201804,MRTG,0.5506160416,Stage 1,600544,10021,0.044,0.38
799,134,8,MB134,201804,MRTG,0.5143109618,Stage 1,1159018,32136,0.132,0.21
800,135,8,MB135,201804,MRTG,0.3826401656,Stage 1,693446,49041,0.158,0.45
801,41,9,MB41,201805,MRTG,0.6334793204,Stage 1,1344652,74536,0.124,0.45
802,42,9,MB42,201805,MRTG,0.6870132844,Stage 1,822302,4037,0.029,0.17
803,43,9,MB43,201805,MRTG,0.4907636781,Stage 1,1481037,21265,0.046,0.31
804,44,9,MB44,201805,MRTG,0.1167289406,Stage 1,1075156,14109,0.122,0.11
805,45,9,MB45,201805,MRTG,0.5731184939,Stage 1,553790,36075,0.176,0.37
806,46,9,MB46,201805,MRTG,0.4405750946,Stage 1,538267,7640,0.040,0.36
807,47,9,MB47,201805,MRTG,0.2903233638,Stage 1,676293,4282,0.082,0.08
808,48,9,MB48,201805,MRTG,0.390429875,Stage 1,1081573,4219,0.066,0.06
809,49,9,MB49,201805,MRTG,0.7110716669,Stage 1,818681,10984,0.101,0.13
810,50,9,MB50,201805,MRTG,0.1403060073,Stage 1,1324744,57908,0.200,0.22
811,51,9,MB51,201805,MRTG,0.5037066664,Stage 1,652438,31554,0.107,0.45
812,52,9,MB52,201805,MRTG,0.5145642141,Stage 1,1254170,26837,0.177,0.12
813,53,9,MB53,201805,MRTG,0.2058443004,Stage 1,1454003,12427,0.063,0.14
814,54,9,MB54,201805,MRTG,0.5227804115,Stage 1,1227228,1351,0.014,0.08
815,55,9,MB55,201805,MRTG,0.6199465974,Stage 1,968906,40119,0.107,0.39
816,56,9,MB56,201805,MRTG,0.897002334,Stage 2,1363839,237026,0.438,0.40
817,57,9,MB57,201805,MRTG,0.6705184705,Stage 1,752310,35959,0.199,0.24
818,58,9,MB58,201805,MRTG,0.6989197049,Stage 1,657879,11995,0.040,0.46
819,59,9,MB59,201805,MRTG,0.1749067513,Stage 1,757893,36326,0.105,0.46
820,60,9,MB60,201805,MRTG,0.02077501789,Stage 1,504384,1108,0.010,0.23
821,61,9,MB61,201805,MRTG,0.5262236126,Stage 1,1345675,34426,0.153,0.17
822,62,9,MB62,201805,MRTG,0.3412598489,Stage 1,835205,17413,0.139,0.15
823,63,9,MB63,201805,MRTG,0.5068600086,Stage 1,687359,16112,0.162,0.14
824,64,9,MB64,201805,MRTG,0.2484029122,Stage 1,1179076,31376,0.189,0.14
825,65,9,MB65,201805,MRTG,0.2281899032,Stage 1,1047094,53490,0.129,0.40
826,66,9,MB66,201805,MRTG,0.3034098079,Stage 1,845600,52964,0.126,0.50
827,67,9,MB67,201805,MRTG,0.3008023075,Stage 1,1154318,83352,0.152,0.47
828,68,9,MB68,201805,MRTG,0.6060399613,Stage 1,1100981,20007,0.051,0.35
829,69,9,MB69,201805,MRTG,0.6949808373,Stage 1,926850,15835,0.059,0.29
830,70,9,MB70,201805,MRTG,0.7125029462,Stage 1,821403,27594,0.111,0.30
831,71,9,MB71,201805,MRTG,0.658837295,Stage 1,975770,20904,0.085,0.25
832,72,9,MB72,201805,MRTG,0.5457515631,Stage 1,1233480,62227,0.143,0.35
833,73,9,MB73,201805,MRTG,0.4677911762,Stage 1,1473693,3741,0.036,0.07
834,74,9,MB74,201805,MRTG,0.685794836,Stage 1,1176398,39386,0.111,0.30
835,75,9,MB75,201805,MRTG,0.5208806586,Stage 1,1205017,52346,0.165,0.26
836,76,9,MB76,201805,MRTG,0.3102262667,Stage 1,934275,30898,0.097,0.34
837,77,9,MB77,201805,MRTG,0.3542353399,Stage 1,566705,9592,0.051,0.33
838,78,9,MB78,201805,MRTG,0.2141627134,Stage 1,1317271,43924,0.110,0.30
839,79,9,MB79,201805,MRTG,0.8780977142,Stage 2,1342646,50753,0.270,0.14
840,80,9,MB80,201805,MRTG,0.9314451143,Stage 2,934370,146311,0.435,0.36
841,81,9,MB81,201805,MRTG,0.5698403165,Stage 1,640941,22104,0.079,0.44
842,82,9,MB82,201805,MRTG,0.4281130876,Stage 1,758283,13078,0.125,0.14
843,83,9,MB83,201805,MRTG,0.3709016624,Stage 1,1134380,3580,0.094,0.03
844,84,9,MB84,201805,MRTG,0.08331019987,Stage 1,1282908,49547,0.122,0.32
845,85,9,MB85,201805,MRTG,0.6804961262,Stage 1,868400,516,0.010,0.06
846,86,9,MB86,201805,MRTG,0.4160060051,Stage 1,1106489,49359,0.154,0.29
847,87,9,MB87,201805,MRTG,0.5440036548,Stage 1,1352045,76866,0.183,0.31
848,88,9,MB88,201805,MRTG,0.977959942,Stage 3,1319421,49563,1.000,0.04
849,89,9,MB89,201805,MRTG,0.9704063562,Stage 3,1395631,576303,1.000,0.41
850,90,9,MB90,201805,MRTG,0.999555681,Stage 3,956087,68705,1.000,0.07
851,91,9,MB91,201805,MRTG,0.242920705,Stage 1,1439286,38838,0.113,0.24
852,92,9,MB92,201805,MRTG,0.2464757487,Stage 1,1196965,8957,0.195,0.04
853,93,9,MB93,201805,MRTG,0.2126198622,Stage 1,680222,11080,0.191,0.09
854,94,9,MB94,201805,MRTG,0.3882686787,Stage 1,1333064,2569,0.025,0.08
855,95,9,MB95,201805,MRTG,0.3795104874,Stage 1,670256,41632,0.134,0.46
856,96,9,MB96,201805,MRTG,0.2769106941,Stage 1,1472767,10742,0.199,0.04
857,97,9,MB97,201805,MRTG,0.2030139853,Stage 1,750686,27515,0.096,0.38
858,98,9,MB98,201805,MRTG,0.432332896,Stage 1,965057,8583,0.102,0.09
859,99,9,MB99,201805,MRTG,0.5685170925,Stage 1,517354,3066,0.048,0.12
860,100,9,MB100,201805,MRTG,0.7960478032,Stage 1,807426,15347,0.047,0.41
861,101,9,MB101,201805,MRTG,0.8336387858,Stage 2,777694,58941,0.427,0.18
862,102,9,MB102,201805,MRTG,0.2725717025,Stage 1,1316404,4689,0.169,0.02
863,103,9,MB103,201805,MRTG,0.9427752032,Stage 2,1253177,8170,0.114,0.06
864,104,9,MB104,201805,MRTG,0.5760219364,Stage 1,869398,8970,0.102,0.10
865,105,9,MB105,201805,MRTG,0.9276208586,Stage 2,689367,69300,0.562,0.18
866,106,9,MB106,201805,MRTG,0.5464292803,Stage 1,1024647,411,0.016,0.03
867,107,9,MB107,201805,MRTG,0.7916344587,Stage 1,1422229,50544,0.088,0.40
868,108,9,MB108,201805,MRTG,0.02291596159,Stage 1,1128355,2397,0.007,0.29
869,109,9,MB109,201805,MRTG,0.5353641122,Stage 1,689295,25202,0.155,0.24
870,110,9,MB110,201805,MRTG,0.9505547481,Stage 3,1102296,242817,1.000,0.22
871,111,9,MB111,201805,MRTG,0.5353300349,Stage 1,709519,32933,0.186,0.25
872,112,9,MB112,201805,MRTG,0.06166830284,Stage 1,1339243,66351,0.185,0.27
873,113,9,MB113,201805,MRTG,0.9005741494,Stage 2,1443175,93334,0.549,0.12
874,114,9,MB114,201805,MRTG,0.8834044611,Stage 2,1026416,61229,0.416,0.14
875,115,9,MB115,201805,MRTG,0.9474390816,Stage 2,906012,20191,0.179,0.12
876,116,9,MB116,201805,MRTG,0.1701054316,Stage 1,1168219,11542,0.159,0.06
877,117,9,MB117,201805,MRTG,0.8446720147,Stage 2,1388459,65536,0.254,0.19
878,118,9,MB118,201805,MRTG,0.0953830239,Stage 1,628701,27809,0.104,0.42
879,119,9,MB119,201805,MRTG,0.4682271547,Stage 1,1125030,61851,0.176,0.31
880,120,9,MB120,201805,MRTG,0.6346400318,Stage 1,592338,14438,0.069,0.35
881,121,9,MB121,201805,MRTG,0.8894520433,Stage 2,1091101,130528,0.325,0.37
882,122,9,MB122,201805,MRTG,0.7593954337,Stage 1,519928,14051,0.114,0.24
883,123,9,MB123,201805,MRTG,0.9136025703,Stage 2,1159039,65069,0.188,0.30
884,124,9,MB124,201805,MRTG,0.1011510394,Stage 1,1416777,73765,0.164,0.32
885,125,9,MB125,201805,MRTG,0.04037752313,Stage 1,824492,26190,0.132,0.24
886,126,9,MB126,201805,MRTG,0.1412841718,Stage 1,635251,13245,0.151,0.14
887,127,9,MB127,201805,MRTG,0.8775608474,Stage 2,882850,44816,0.248,0.20
888,128,9,MB128,201805,MRTG,0.2767896713,Stage 1,1496523,55508,0.141,0.26
889,129,9,MB129,201805,MRTG,0.7866969957,Stage 1,577885,25168,0.199,0.22
890,130,9,MB130,201805,MRTG,0.09747685564,Stage 1,1370585,50627,0.092,0.40
891,131,9,MB131,201805,MRTG,0.6504151798,Stage 1,907128,4633,0.041,0.13
892,132,9,MB132,201805,MRTG,0.2019307641,Stage 1,1023910,20921,0.068,0.30
893,133,9,MB133,201805,MRTG,0.5396033833,Stage 1,515087,4076,0.149,0.05
894,134,9,MB134,201805,MRTG,0.9562710687,Stage 3,695367,54244,1.000,0.08
895,135,9,MB135,201805,MRTG,0.5307734541,Stage 1,1265197,11073,0.058,0.15
896,136,9,MB136,201805,MRTG,0.8562164847,Stage 2,549010,61031,0.414,0.27
897,137,9,MB137,201805,MRTG,0.4259465718,Stage 1,1498942,56991,0.124,0.31
898,138,9,MB138,201805,MRTG,0.949535499,Stage 2,573259,21927,0.421,0.09
899,139,9,MB139,201805,MRTG,0.9961358064,Stage 3,776476,126917,1.000,0.16
900,140,9,MB140,201805,MRTG,0.9886150553,Stage 3,1236815,446826,1.000,0.36
901,46,10,MB46,201806,MRTG,0.08254973426,Stage 1,673066,36868,0.119,0.46
902,47,10,MB47,201806,MRTG,0.2532068701,Stage 1,999911,19793,0.104,0.19
903,48,10,MB48,201806,MRTG,0.3151511786,Stage 1,871508,14459,0.100,0.17
904,49,10,MB49,201806,MRTG,0.96864463,Stage 3,1233310,83406,1.000,0.07
905,50,10,MB50,201806,MRTG,0.8549684481,Stage 2,1249588,27815,0.358,0.06
906,51,10,MB51,201806,MRTG,0.8678150259,Stage 2,975680,168542,0.497,0.35
907,52,10,MB52,201806,MRTG,0.8339852105,Stage 2,1086343,4299,0.008,0.49
908,53,10,MB53,201806,MRTG,0.144388016,Stage 1,911971,12682,0.068,0.20
909,54,10,MB54,201806,MRTG,0.5945707599,Stage 1,590025,1526,0.028,0.09
910,55,10,MB55,201806,MRTG,0.02436870882,Stage 1,771260,23331,0.193,0.16
911,56,10,MB56,201806,MRTG,0.3499160748,Stage 1,1138211,8439,0.058,0.13
912,57,10,MB57,201806,MRTG,0.6626515029,Stage 1,1202839,85988,0.145,0.49
913,58,10,MB58,201806,MRTG,0.06910547463,Stage 1,1386271,29918,0.095,0.23
914,59,10,MB59,201806,MRTG,0.5362875563,Stage 1,915435,11373,0.194,0.06
915,60,10,MB60,201806,MRTG,0.6971884238,Stage 1,1479692,79839,0.117,0.46
916,61,10,MB61,201806,MRTG,0.9575968369,Stage 3,1168278,530026,1.000,0.45
917,62,10,MB62,201806,MRTG,0.85446488,Stage 2,1249537,63669,0.173,0.29
918,63,10,MB63,201806,MRTG,0.5346660839,Stage 1,1436729,34840,0.071,0.34
919,64,10,MB64,201806,MRTG,0.9133205382,Stage 2,1495269,1664,0.015,0.08
920,65,10,MB65,201806,MRTG,0.1464023391,Stage 1,1482680,29720,0.046,0.44
921,66,10,MB66,201806,MRTG,0.4591374312,Stage 1,1297405,22831,0.040,0.44
922,67,10,MB67,201806,MRTG,0.3220080267,Stage 1,1024524,26537,0.063,0.41
923,68,10,MB68,201806,MRTG,0.1284727613,Stage 1,1051934,53949,0.126,0.41
924,69,10,MB69,201806,MRTG,0.3839857483,Stage 1,1497771,4154,0.026,0.11
925,70,10,MB70,201806,MRTG,0.3478845549,Stage 1,1392555,51769,0.093,0.40
926,71,10,MB71,201806,MRTG,0.6586703137,Stage 1,940224,42590,0.131,0.35
927,72,10,MB72,201806,MRTG,0.6261504476,Stage 1,944670,13766,0.177,0.08
928,73,10,MB73,201806,MRTG,0.8235475484,Stage 2,1130868,5551,0.035,0.14
929,74,10,MB74,201806,MRTG,0.4774654124,Stage 1,531509,36967,0.152,0.46
930,75,10,MB75,201806,MRTG,0.6566077822,Stage 1,705359,738,0.016,0.07
931,76,10,MB76,201806,MRTG,0.3604277131,Stage 1,887946,1628,0.039,0.05
932,77,10,MB77,201806,MRTG,0.2056707056,Stage 1,900331,6838,0.095,0.08
933,78,10,MB78,201806,MRTG,0.9347718291,Stage 2,507687,805,0.487,0.00
934,79,10,MB79,201806,MRTG,0.5966113183,Stage 1,821063,41357,0.123,0.41
935,80,10,MB80,201806,MRTG,0.5830432741,Stage 1,1096000,19849,0.117,0.15
936,81,10,MB81,201806,MRTG,0.2559387337,Stage 1,1050618,3119,0.028,0.11
937,82,10,MB82,201806,MRTG,0.2765252582,Stage 1,1380285,22532,0.045,0.36
938,83,10,MB83,201806,MRTG,0.4080835296,Stage 1,1032117,6886,0.050,0.13
939,84,10,MB84,201806,MRTG,0.1331328042,Stage 1,1167494,4701,0.016,0.25
940,85,10,MB85,201806,MRTG,0.009510933239,Stage 1,858783,14680,0.068,0.25
941,86,10,MB86,201806,MRTG,0.2097262178,Stage 1,1468996,18127,0.130,0.09
942,87,10,MB87,201806,MRTG,0.2544978476,Stage 1,938841,1742,0.155,0.01
943,88,10,MB88,201806,MRTG,0.3730272949,Stage 1,944268,9713,0.044,0.23
944,89,10,MB89,201806,MRTG,0.9008199499,Stage 2,894893,41706,0.528,0.09
945,90,10,MB90,201806,MRTG,0.3233362732,Stage 1,564290,29500,0.120,0.44
946,91,10,MB91,201806,MRTG,0.6530380564,Stage 1,1081349,1922,0.025,0.07
947,92,10,MB92,201806,MRTG,0.7154598673,Stage 1,1249245,34593,0.132,0.21
948,93,10,MB93,201806,MRTG,0.9575337878,Stage 3,1220789,483086,1.000,0.40
949,94,10,MB94,201806,MRTG,0.6842108145,Stage 1,793963,796,0.002,0.41
950,95,10,MB95,201806,MRTG,0.8235176024,Stage 2,973266,94616,0.455,0.21
951,96,10,MB96,201806,MRTG,0.180688475,Stage 1,925140,1197,0.127,0.01
952,97,10,MB97,201806,MRTG,0.7201502383,Stage 1,1254733,37552,0.180,0.17
953,98,10,MB98,201806,MRTG,0.2440913277,Stage 1,1118877,47362,0.111,0.38
954,99,10,MB99,201806,MRTG,0.509528641,Stage 1,945766,42777,0.135,0.33
955,100,10,MB100,201806,MRTG,0.4464557338,Stage 1,1393510,49838,0.100,0.36
956,101,10,MB101,201806,MRTG,0.5720691334,Stage 1,1303958,25765,0.127,0.16
957,102,10,MB102,201806,MRTG,0.1695030385,Stage 1,744308,6892,0.122,0.08
958,103,10,MB103,201806,MRTG,0.3438732417,Stage 1,1077857,53908,0.145,0.34
959,104,10,MB104,201806,MRTG,0.4093706854,Stage 1,1032727,65205,0.171,0.37
960,105,10,MB105,201806,MRTG,0.009713728682,Stage 1,572736,4785,0.184,0.05
961,106,10,MB106,201806,MRTG,0.4026949052,Stage 1,828036,32298,0.113,0.35
962,107,10,MB107,201806,MRTG,0.9406798819,Stage 2,935087,156785,0.553,0.30
963,108,10,MB108,201806,MRTG,0.363212006,Stage 1,1033871,63295,0.182,0.34
964,109,10,MB109,201806,MRTG,0.008249324296,Stage 1,790555,15049,0.069,0.27
965,110,10,MB110,201806,MRTG,0.9892963403,Stage 3,742279,197689,1.000,0.27
966,111,10,MB111,201806,MRTG,0.2882108634,Stage 1,1316430,5128,0.014,0.29
967,112,10,MB112,201806,MRTG,0.5178161855,Stage 1,1035091,59339,0.130,0.44
968,113,10,MB113,201806,MRTG,0.04567375722,Stage 1,1473108,90619,0.154,0.40
969,114,10,MB114,201806,MRTG,0.9671550045,Stage 3,803814,68785,1.000,0.09
970,115,10,MB115,201806,MRTG,0.6892167705,Stage 1,717870,34813,0.125,0.39
971,116,10,MB116,201806,MRTG,0.731627564,Stage 1,757859,4516,0.045,0.13
972,117,10,MB117,201806,MRTG,0.5365311894,Stage 1,1228242,71927,0.148,0.40
973,118,10,MB118,201806,MRTG,0.9008589767,Stage 2,825101,17031,0.318,0.06
974,119,10,MB119,201806,MRTG,0.4497968545,Stage 1,761250,23235,0.127,0.24
975,120,10,MB120,201806,MRTG,0.01165216555,Stage 1,1072636,8944,0.026,0.33
976,121,10,MB121,201806,MRTG,0.3962267472,Stage 1,1449682,12000,0.057,0.15
977,122,10,MB122,201806,MRTG,0.4677352882,Stage 1,1058949,10016,0.123,0.08
978,123,10,MB123,201806,MRTG,0.7530744636,Stage 1,1408234,43110,0.143,0.21
979,124,10,MB124,201806,MRTG,0.5464705984,Stage 1,1406830,77565,0.122,0.45
980,125,10,MB125,201806,MRTG,0.2078963588,Stage 1,1203227,47569,0.090,0.44
